datetime;id;name;temp_degC;relHum_%;absHum_gkg;pres_hPa;timestamp
2022-12-15 00:00:16+00:00;58;Wohnzimmer;15.15465;43.24989;5.57888;994.54443;1671062416
2022-12-15 00:00:29+00:00;59;Arbeitszimmer;14.74571;52.44446;6.59883;0.0;1671062429
2022-12-15 00:01:16+00:00;58;Wohnzimmer;15.17467;43.31179;5.59365;994.53101;1671062476
2022-12-15 00:01:29+00:00;59;Arbeitszimmer;14.77337;52.36578;6.60003;0.0;1671062489
2022-12-15 00:02:16+00:00;58;Wohnzimmer;15.14778;43.28918;5.58162;994.52856;1671062536
2022-12-15 00:02:29+00:00;59;Arbeitszimmer;14.78653;52.34499;6.6027;0.0;1671062549
2022-12-15 00:03:16+00:00;58;Wohnzimmer;15.13805;43.25457;5.57386;994.53394;1671062596
2022-12-15 00:03:29+00:00;59;Arbeitszimmer;14.80293;52.33965;6.60862;0.0;1671062609
2022-12-15 00:04:16+00:00;58;Wohnzimmer;15.14473;43.3094;5.58319;994.51978;1671062656
2022-12-15 00:04:29+00:00;59;Arbeitszimmer;14.81209;52.34222;6.61263;0.0;1671062669
2022-12-15 00:05:16+00:00;58;Wohnzimmer;15.12699;43.32762;5.57953;994.55103;1671062716
2022-12-15 00:05:29+00:00;59;Arbeitszimmer;14.80618;52.2788;6.60224;0.0;1671062729
2022-12-15 00:06:16+00:00;58;Wohnzimmer;15.11784;43.33754;5.57771;994.54175;1671062776
2022-12-15 00:06:29+00:00;59;Arbeitszimmer;14.82334;52.25096;6.60562;0.0;1671062789
2022-12-15 00:07:16+00:00;58;Wohnzimmer;15.10925;43.29052;5.56875;994.53882;1671062836
2022-12-15 00:07:29+00:00;59;Arbeitszimmer;14.79549;52.26994;6.59683;0.0;1671062849
2022-12-15 00:08:16+00:00;58;Wohnzimmer;15.10143;43.39933;5.5801;994.57812;1671062896
2022-12-15 00:08:29+00:00;59;Arbeitszimmer;14.80999;52.33192;6.61048;0.0;1671062909
2022-12-15 00:09:16+00:00;58;Wohnzimmer;15.098;43.30406;5.56669;994.58008;1671062956
2022-12-15 00:09:29+00:00;59;Arbeitszimmer;14.82906;52.27289;6.61069;0.0;1671062969
2022-12-15 00:10:16+00:00;58;Wohnzimmer;15.07893;43.36424;5.56798;994.56494;1671063016
2022-12-15 00:10:29+00:00;59;Arbeitszimmer;14.81037;52.24609;6.59979;0.0;1671063029
2022-12-15 00:11:16+00:00;58;Wohnzimmer;15.09132;43.40696;5.57766;994.59424;1671063076
2022-12-15 00:11:29+00:00;59;Arbeitszimmer;14.84203;52.25115;6.61316;0.0;1671063089
2022-12-15 00:12:16+00:00;58;Wohnzimmer;15.07206;43.3794;5.5676;994.61426;1671063136
2022-12-15 00:12:29+00:00;59;Arbeitszimmer;14.83154;52.13881;6.59473;0.0;1671063149
2022-12-15 00:13:16+00:00;58;Wohnzimmer;15.06939;43.4062;5.57014;994.62451;1671063196
2022-12-15 00:13:29+00:00;59;Arbeitszimmer;14.84318;52.17104;6.60348;0.0;1671063209
2022-12-15 00:14:16+00:00;58;Wohnzimmer;15.06596;43.43758;5.573;994.64478;1671063256
2022-12-15 00:14:29+00:00;59;Arbeitszimmer;14.82735;52.20928;6.60196;0.0;1671063269
2022-12-15 00:15:16+00:00;58;Wohnzimmer;15.04078;43.41602;5.56173;994.6355;1671063316
2022-12-15 00:15:29+00:00;59;Arbeitszimmer;14.81514;52.13594;6.58779;0.0;1671063329
2022-12-15 00:16:16+00:00;58;Wohnzimmer;15.02686;43.38493;5.55305;994.65894;1671063376
