datetime;id;name;temp_degC;relHum_%;absHum_gkg;pres_hPa;timestamp
2022-12-14 00:00:04+00:00;58;Wohnzimmer;14.81323;41.82577;5.28441;992.95068;1670976004
2022-12-14 00:00:17+00:00;59;Arbeitszimmer;14.18247;52.24428;6.35157;0.0;1670976017
2022-12-14 00:01:05+00:00;58;Wohnzimmer;14.82162;41.81767;5.28608;992.92212;1670976065
2022-12-14 00:01:17+00:00;59;Arbeitszimmer;14.14261;52.2541;6.33729;0.0;1670976077
2022-12-14 00:02:05+00:00;58;Wohnzimmer;14.79988;41.74948;5.27048;992.88965;1670976125
2022-12-14 00:02:17+00:00;59;Arbeitszimmer;14.147;52.26488;6.3403;0.0;1670976137
2022-12-14 00:03:05+00:00;58;Wohnzimmer;14.81915;41.8211;5.28572;992.95288;1670976185
2022-12-14 00:03:17+00:00;59;Arbeitszimmer;14.13383;52.26765;6.33553;0.0;1670976197
2022-12-14 00:04:04+00:00;58;Wohnzimmer;14.83841;41.78286;5.28708;992.93384;1670976244
2022-12-14 00:04:17+00:00;59;Arbeitszimmer;14.14757;52.27213;6.3414;0.0;1670976257
2022-12-14 00:05:05+00:00;58;Wohnzimmer;14.84566;41.81356;5.29329;992.96191;1670976305
2022-12-14 00:05:18+00:00;59;Arbeitszimmer;14.13555;52.32544;6.34321;0.0;1670976318
2022-12-14 00:06:05+00:00;58;Wohnzimmer;14.87236;41.76979;5.29635;992.92261;1670976365
2022-12-14 00:06:18+00:00;59;Arbeitszimmer;14.12716;52.36244;6.34443;0.0;1670976378
2022-12-14 00:07:05+00:00;58;Wohnzimmer;14.87179;41.75968;5.29488;992.91528;1670976425
2022-12-14 00:07:18+00:00;59;Arbeitszimmer;14.13383;52.36282;6.34707;0.0;1670976438
2022-12-14 00:08:05+00:00;58;Wohnzimmer;14.85348;41.7243;5.28451;992.91431;1670976485
2022-12-14 00:08:18+00:00;59;Arbeitszimmer;14.12029;52.31466;6.33598;0.0;1670976498
