datetime;id;name;temp_degC;relHum_%;absHum_gkg;pres_hPa
2023-01-04T00:00:43Z;58;Wohnzimmer;16.99;53.958;7.806;1018.688
2023-01-04T00:00:43Z;59;Arbeitszimmer;16.878;56.06;8.055;0
2023-01-04T00:01:43Z;58;Wohnzimmer;16.978;53.967;7.801;1018.727
2023-01-04T00:01:43Z;59;Arbeitszimmer;16.839;56.086;8.04;0
2023-01-04T00:02:43Z;58;Wohnzimmer;16.986;54.054;7.818;1018.701
2023-01-04T00:02:43Z;59;Arbeitszimmer;16.848;56.042;8.038;0
2023-01-04T00:03:43Z;58;Wohnzimmer;16.96;53.995;7.797;1018.662
2023-01-04T00:03:43Z;59;Arbeitszimmer;16.839;56.102;8.043;0
2023-01-04T00:04:43Z;58;Wohnzimmer;16.982;53.955;7.802;1018.68
2023-01-04T00:04:43Z;59;Arbeitszimmer;16.837;56.091;8.04;0
2023-01-04T00:05:43Z;58;Wohnzimmer;16.967;54.096;7.815;1018.656
2023-01-04T00:05:43Z;59;Arbeitszimmer;16.84;56.095;8.042;0
2023-01-04T00:06:43Z;58;Wohnzimmer;16.969;54.002;7.802;1018.616
2023-01-04T00:06:43Z;59;Arbeitszimmer;16.833;56.126;8.043;0
2023-01-04T00:07:43Z;58;Wohnzimmer;16.965;54.059;7.808;1018.63
2023-01-04T00:07:43Z;59;Arbeitszimmer;16.831;56.079;8.036;0
2023-01-04T00:08:43Z;58;Wohnzimmer;16.95;53.996;7.793;1018.634
2023-01-04T00:08:43Z;59;Arbeitszimmer;16.834;56.081;8.037;0
2023-01-04T00:09:43Z;58;Wohnzimmer;16.94;54.03;7.793;1018.626
2023-01-04T00:09:43Z;59;Arbeitszimmer;16.837;56.144;8.048;0
2023-01-04T00:10:43Z;58;Wohnzimmer;16.924;54.083;7.793;1018.618
2023-01-04T00:10:43Z;59;Arbeitszimmer;16.836;56.188;8.054;0
2023-01-04T00:11:43Z;58;Wohnzimmer;16.951;54.089;7.806;1018.643
2023-01-04T00:11:43Z;59;Arbeitszimmer;16.84;56.044;8.035;0
2023-01-04T00:12:43Z;58;Wohnzimmer;16.922;54.112;7.796;1018.683
2023-01-04T00:12:43Z;59;Arbeitszimmer;16.837;56.172;8.052;0
2023-01-04T00:13:43Z;58;Wohnzimmer;16.925;54.109;7.797;1018.633
2023-01-04T00:13:43Z;59;Arbeitszimmer;16.843;56.119;8.047;0
2023-01-04T00:14:43Z;58;Wohnzimmer;16.916;54.11;7.793;1018.67
2023-01-04T00:14:43Z;59;Arbeitszimmer;16.839;56.108;8.044;0
2023-01-04T00:15:43Z;58;Wohnzimmer;16.938;54.154;7.81;1018.608
2023-01-04T00:15:43Z;59;Arbeitszimmer;16.817;56.218;8.049;0
2023-01-04T00:16:43Z;58;Wohnzimmer;16.909;54.187;7.801;1018.63
2023-01-04T00:16:43Z;59;Arbeitszimmer;16.796;56.12;8.024;0
2023-01-04T00:17:43Z;58;Wohnzimmer;16.903;54.116;7.788;1018.614
2023-01-04T00:17:43Z;59;Arbeitszimmer;16.809;56.189;8.04;0
2023-01-04T00:18:43Z;58;Wohnzimmer;16.906;54.121;7.79;1018.655
2023-01-04T00:18:43Z;59;Arbeitszimmer;16.812;56.243;8.05;0
2023-01-04T00:19:43Z;58;Wohnzimmer;16.899;54.128;7.788;1018.714
2023-01-04T00:19:43Z;59;Arbeitszimmer;16.779;56.231;8.032;0
2023-01-04T00:20:43Z;58;Wohnzimmer;16.893;54.152;7.788;1018.689
2023-01-04T00:20:43Z;59;Arbeitszimmer;16.789;56.25;8.04;0
2023-01-04T00:21:43Z;58;Wohnzimmer;16.906;54.195;7.801;1018.697
2023-01-04T00:21:43Z;59;Arbeitszimmer;16.803;56.207;8.04;0
2023-01-04T00:22:43Z;58;Wohnzimmer;16.908;54.223;7.806;1018.699
2023-01-04T00:22:43Z;59;Arbeitszimmer;16.822;56.183;8.046;0
2023-01-04T00:23:43Z;58;Wohnzimmer;16.897;54.177;7.794;1018.66
